5319	מס' מיון	שם הספר	שם המחבר	הוצאה	כרך	מס' עתי'	Date	Initials	Is Bound	Comments	קטיגורי	מס׳ מדף							
		ארבעה טורים השלם - חשן משפט -- ב -- לט - עד	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	טו		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - יורה דעה -- א -- א - קלד  (מהדורת י״ב כרכים)	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ד		11/29/2021	AL	FALSE	needs binding from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - יורה דעה -- ב -- קלה - רלה  (מהדורת י״ב כרכים)	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ה		11/29/2021	AL	FALSE	needs binding from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם - יורה דעה -- ג -- רלו - תג  (מהדורת י״ב כרכים)	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ו		11/29/2021	AL	FALSE	needs binding from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.5							
		ארבעה טורים השלם -  יורה דעה -- א -- א - ס 	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ו	ֿ1	5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם -  יורה דעה -- א -- א - ס 	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ו	1	5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם -  יורה דעה -- ב -- סא - קיא	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ז	1	5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם -  יורה דעה -- ב -- סא - קיא	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ז	1	5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם -  יורה דעה -- ג -- קיב - קפב	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ח	1	5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם - אורח חיים -- א -- א - קכז	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	א		5/26/2021	AL	FALSE	coming apart	הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם - אורח חיים -- א -- א - קכז	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	א		5/26/2021	AL	FALSE	coming apart	הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם - אורח חיים -- ב -- קכח - רמא	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ב		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם - אורח חיים -- ב -- קכח - רמא	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ב		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם - אורח חיים -- ג -- קמב - שמד	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ג		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם - אורח חיים -- ג -- קמב - שמד	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ג		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם - אורח חיים -- ד -- שמה - תצד 	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ד		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם - אורח חיים -- ד -- שמה - תצד 	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ד		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם - אורח חיים -- ה -- תצה - תרצז 	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ה		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.6							
		ארבעה טורים השלם - אורח חיים -- ה -- תצה - תרצז 	יעקב בן אשר / קארו, יוסף / סיקרש, יואל / איסרלש, משה 	מכון ירושלים	ה		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.6							
		ספר קיצור שולחן ערוך השלם 	גאנצפריד, שלמה	אשכול	א		5/26/2021	AL	FALSE	on shelf 2.7	הלכה - אחרונים כללי וסטים	1.7							
		ספר קיצור שולחן ערוך השלם מנוקד ומבואר עם קצור דיני המצוות התלויות בארץ	גאנצפריד, שלמה / קרליץ, אברהם ישעיהו	אורות חיים			5/26/2021	AL	FALSE	on shelf 2.7	הלכה - אחרונים כללי וסטים	1.7							
		ספר קצור שלחן ערוך מנקד - קצור דיני המצוות התלויות בארץ	גאנצפריד, שלמה / קרליץ, אברהם ישעיהו	אשכול			5/26/2021	AL	FALSE	on shelf 2.7	הלכה - אחרונים כללי וסטים	1.7							
		ספר קצור שלחן ערוך מנקד - קצור דיני המצוות התלויות בארץ	גאנצפריד, שלמה / קרליץ, אברהם ישעיהו	אשכול			5/26/2021	AL	FALSE	on shelf 2.7	הלכה - אחרונים כללי וסטים	1.7							
		ספר קצור שלחן ערוך מנקד - קצור דיני המצוות התלויות בארץ	גאנצפריד, שלמה / קרליץ, אברהם ישעיהו	אשכול			5/26/2021	AL	FALSE	on shelf 2.7	הלכה - אחרונים כללי וסטים	1.7							
		קיצור שלחן ערוך מנוקד	גאנצפריד, שלמה	הוצאת סיני תל-אביב			5/26/2021	AL	FALSE	on shelf 2.7	הלכה - אחרונים כללי וסטים	1.7							
		קיצור שלחן ערוך מנוקד	גאנצפריד, שלמה	הוצאת סיני תל-אביב			5/26/2021	AL	FALSE	on shelf 2.7	הלכה - אחרונים כללי וסטים	1.7							
		קיצור שלחן ערוך עם לקט בני איש, עם דברי משנה ברורה	הכהן, ישראל מאיר	המסורה	ב		5/26/2021	AL	FALSE	need to relabel them	הלכה - אחרונים כללי וסטים	1.7							
		שלחן ערוך החדש - אבן העזר -- א-ב -- א - קעח	קארו, יוסף/ איסרליש, משה	מכון שלחן מלכים	ח		11/29/2021	AL	FALSE	from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.7							
		שלחן ערוך החדש - אורח חיים -- א -- א - רמא	קארו, יוסף/ איסרליש, משה	מכון שלחן מלכים	א		11/29/2021	AL	FALSE	from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.7							
		שלחן ערוך החדש - אורח חיים -- ב -- רמב - תטז	קארו, יוסף/ איסרליש, משה	מכון שלחן מלכים	ב		11/29/2021	AL	FALSE	from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.7							
		שלחן ערוך החדש - אורח חיים -- ג -- תיז - תרצז	קארו, יוסף/ איסרליש, משה	מכון שלחן מלכים	ג		11/29/2021	AL	FALSE	from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.7							
		שלחן ערוך החדש - חושן משפט -- א -- א - עד	קארו, יוסף/ איסרליש, משה	מכון שלחן מלכים	ט		11/29/2021	AL	FALSE	from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.7							
		שלחן ערוך החדש - חושן משפט -- ב -- עה - קע	קארו, יוסף/ איסרליש, משה	מכון שלחן מלכים	י		11/29/2021	AL	FALSE	from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.7							
		שלחן ערוך החדש - חושן משפט -- ג -- קעא - תכז	קארו, יוסף/ איסרליש, משה	מכון שלחן מלכים	יא		11/29/2021	AL	FALSE	from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.7							
		שלחן ערוך החדש - יורה דעה -- א -- א - סד	קארו, יוסף/ איסרליש, משה	מכון שלחן מלכים	ד		11/29/2021	AL	FALSE	from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.7							
		שלחן ערוך החדש - יורה דעה -- ב -- סה - קכב	קארו, יוסף/ איסרליש, משה	מכון שלחן מלכים	ה		11/29/2021	AL	FALSE	from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.7							
		שלחן ערוך החדש - יורה דעה -- ג -- קכג - רב	קארו, יוסף/ איסרליש, משה	מכון שלחן מלכים	ו		11/29/2021	AL	FALSE	from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.7							
		שלחן ערוך החדש - יורה דעה -- ד -- רג - תג	קארו, יוסף/ איסרליש, משה	מכון שלחן מלכים	ז		11/29/2021	AL	FALSE	from shoresh move 11/25/21	הלכה - אחרונים כללי וסטים	1.7							
		שלחן ערוך - אבן העזר -- א - כה	קארו, יוסף / איסרליש, משה	הוצאת מורשה להנחיל	א		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.8							
		שלחן ערוך - אבן העזר -- כו - סה	קארו, יוסף / איסרליש, משה	הוצאת מורשה להנחיל	ב		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.8							
		שלחן ערוך - אבן העזר -- סו - קיח	קארו, יוסף / איסרליש, משה	הוצאת מורשה להנחיל	ג		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.8							
		שלחן ערוך - אבן העזר -- קיט - קלט	קארו, יוסף / איסרליש, משה	הוצאת מורשה להנחיל	ד		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.8							
		שלחן ערוך - חשן משפט -- א - כז	קארו, יוסף / איסרליש, משה	הוצאת מורשה להנחיל	א		5/26/2021	AL	FALSE	needs binding	הלכה - אחרונים כללי וסטים	1.8							
		שלחן ערוך - חשן משפט -- כ״ח - נ״ז	קארו, יוסף / איסרליש, משה	הוצאת מורשה להנחיל	ב		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.8							
		שלחן ערוך - חשן משפט -- נ״ז - עד	קארו, יוסף / איסרליש, משה	הוצאת מורשה להנחיל	ג		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.8							
		שלחן ערוך - חשן משפט -- ע״ה - צ״ו	קארו, יוסף / איסרליש, משה	הוצאת מורשה להנחיל	ד		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.8							
		שלחן ערוך - חשן משפט -- צז - קלב	קארו, יוסף / איסרליש, משה	הוצאת מורשה להנחיל	ה		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.8							
		שלחן ערוך - חשן משפט -- צז - קלב	קארו, יוסף / איסרליש, משה	הוצאת מורשה להנחיל	ו		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.8							
		שלחן ערוך - חשן משפט -- קלג - קפח	קארו, יוסף / איסרליש, משה	הוצאת מורשה להנחיל	ז		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.8							
		שלחן ערוך - חשן משפט -- קפט - רמ	קארו, יוסף / איסרליש, משה	הוצאת מורשה להנחיל	ח		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.8							
